,post_vs_pre_in_asthma,asthma_vs_healthy_at_post,asthma_vs_healthy_at_pre,post_vs_pre_in_healthy,err,warn
hsa-miR-485-5p,4.35E-05,0.160284888,0.556259282,0.000188068,No error,No warn
hsa-miR-486-3p,3.88E-06,0.616068542,0.768435831,6.06E-07,No error,No warn
hsa-miR-486-5p,1.97E-09,0.000771852,0.901848803,3.61E-08,No error,No warn
hsa-miR-493-3p,0.021273784,0.145935102,0.783586449,0.108726646,No error,No warn
hsa-miR-493-5p,0.042523884,0.024598865,0.838896561,1,No error,No warn
hsa-miR-494-3p,0.776583546,0.065018209,0.074751728,1,No error,No warn
hsa-miR-495-3p,1,1,0.558112274,1,No error,No warn
hsa-miR-500a-3p,1,1,0.281917028,1,No error,No warn
hsa-miR-501-3p,0.001406743,0.007440441,0.243131958,8.19E-08,No error,No warn
hsa-miR-502-3p,0.082570691,0.13427162,0.051231573,0.092851577,No error,No warn
hsa-miR-503-5p,0.149385193,0.37391617,0.479274709,0.089886034,No error,No warn
hsa-miR-504-5p,0.519994768,0.649833976,0.514509411,0.433063699,No error,No warn
hsa-miR-505-3p,0.287411205,0.691987411,1,0.428636537,No error,No warn
hsa-miR-505-5p,1,0.157032985,0.061045071,1,No error,No warn
hsa-miR-511-5p,1,1,1,1,No error,No warn
hsa-miR-532-5p,3.84E-05,1,1,6.78E-06,No error,gss warnin
hsa-miR-542-3p,1,0.118874521,1,1,No error,No warn
hsa-miR-543,0.380980482,0.337926528,1,1,No error,No warn
hsa-miR-548e-3p,0.058327999,0.71240293,0.823359637,0.023731205,No error,No warn
hsa-miR-548j-5p,0.13638138,1,1,0.061183405,No error,No warn
hsa-miR-548o-3p,0.003590069,0.088543619,0.476531703,0.013202675,No error,No warn
hsa-miR-550a-5p,1,0.626936422,0.533342494,1,No error,No warn
hsa-miR-574-3p,0.001490817,0.116361194,1,0.010542537,No error,No warn
hsa-miR-576-3p,1,1,1,0.870833662,No error,No warn
hsa-miR-582-3p,0.101172223,0.079928448,0.662981036,0.620519062,No error,No warn
hsa-miR-584-5p,8.63E-06,0.03266712,1,0.000100115,No error,gss warnin
hsa-miR-589-5p,0.844659098,0.768759767,0.407219936,0.543467937,No error,No warn
hsa-miR-598-3p,0.208422978,0.125269068,0.447272577,0.363839452,No error,No warn
hsa-miR-625-3p,0.012148095,0.145942544,0.844054858,0.029427834,No error,No warn
hsa-miR-628-3p,0.602795489,0.642211061,0.331316545,0.309810679,No error,No warn
hsa-miR-629-5p,0.237874322,0.523298907,0.483304685,0.16511803,No error,No warn
hsa-miR-641,1,0.225352558,0.255311029,1,No error,No warn
hsa-miR-651-5p,0.000682087,0.006271583,1,0.124772878,No error,No warn
hsa-miR-652-3p,6.82E-13,0.001722984,0.010222166,1,No error,gss warnin
hsa-miR-654-3p,1.37E-40,0.110614132,1,1.86E-37,No error,gss warnin
hsa-miR-654-5p,0.733506944,0.684619497,0.448081996,0.554502305,No error,No warn
hsa-miR-660-5p,0.199106284,0.132825627,0.615175653,0.108507529,No error,No warn
hsa-miR-664a-5p,0.099364661,1,1,0.031491367,No error,No warn
hsa-miR-671-3p,8.38E-06,5.52E-06,0.50041267,1,No error,No warn
hsa-miR-6747-3p,0.666435446,0.640909063,1,1,No error,No warn
hsa-miR-6842-3p,0.514308311,0.412813463,0.552317191,1,No error,No warn
hsa-miR-6843-3p,0.153223658,0.057102719,0.465846083,0.252262066,No error,No warn
hsa-miR-6852-5p,0.321315235,0.21479526,0.150672091,0.358962663,No error,No warn
hsa-miR-7-5p,8.07E-14,0.579992889,1,9.01E-14,No error,No warn
hsa-miR-708-3p,0.452634012,0.582321956,0.405171709,0.488965732,No error,No warn
hsa-miR-744-5p,1.72E-16,3.94E-27,0.783399543,3.85E-17,No error,gss warnin
hsa-miR-758-3p,0.125771094,0.340825895,0.416900783,0.05743717,No error,No warn
hsa-miR-760,0.293797248,0.106259047,0.133853699,1,No error,No warn
hsa-miR-769-5p,0.625589304,0.681214927,0.410091077,0.377070015,No error,No warn
hsa-miR-7706,1.95E-10,0.0381259,0.492002916,6.84E-11,No error,No warn
hsa-miR-7976,0.016781262,0.121842692,1,0.016320532,No error,No warn
hsa-miR-889-3p,0.05571446,0.111016346,0.711807047,0.251961234,No error,No warn
hsa-miR-9-5p,1,0.349196418,1,1,No error,No warn
hsa-miR-92a-3p,8.76E-71,1.20E-68,0.62872855,3.06E-07,No error,No warn
hsa-miR-92b-3p,0.357914989,0.433024546,0.182236479,0.158829643,No error,No warn
hsa-miR-93-5p,0.113489243,0.000950355,0.414286996,1,No error,gss warnin
hsa-miR-941,4.41E-07,0.039242755,1,3.62E-08,No error,No warn
hsa-miR-942-5p,1,1,0.793948163,0.289430656,No error,No warn
hsa-miR-95-3p,1,0.006520716,1,8.10E-11,No error,No warn
hsa-miR-96-5p,1,1,0.426715475,1,No error,gss warnin
hsa-miR-98-5p,1.20E-06,0.732160494,0.568734514,3.73E-07,No error,No warn
hsa-miR-99a-5p,4.52E-07,0.000136084,1,0.00428006,No error,No warn
hsa-miR-99b-3p,0.179584256,0.66047119,0.182790244,0.050457022,No error,No warn
hsa-miR-99b-5p,0.015249977,0.086485977,0.661853136,0.083631539,No error,gss warnin
